"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbNLCProtection"
"01/25/2022 11:17:10:001 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-alpha","[step]","getSeed","getViability","getRemainingCellRatio"
"2","0","121","144971","94.44922547332186","58.099999999999994"
"3","0","120","481802","91.98152812762385","59.550000000000004"
"1","0","118","154471","90.05365249690468","60.575"
"4","10","118","612836","89.1269199676637","61.85000000000001"
"2","0","122","144971","94.71174685739055","57.675"
"3","0","121","481802","92.28813559322035","59"
"2","0","123","144971","95.10275470048099","57.175"
"4","10","119","612836","89.65235173824131","61.12499999999999"
"1","0","119","154471","90.73455759599332","59.9"
"3","0","122","481802","92.8540864356012","58.425000000000004"
"2","0","124","144971","95.49668874172185","56.625"
"4","10","120","612836","90.1571546732837","60.45"
"1","0","120","154471","90.9090909090909","59.4"
"3","0","123","481802","93.05735230702889","57.975"
"2","0","125","144971","95.91292758773878","56.275"
"4","10","121","612836","90.65108514190318","59.9"
"3","0","124","481802","93.44048653344917","57.550000000000004"
"1","0","121","154471","91.48936170212765","58.75"
"2","0","126","144971","96.20366234926307","55.974999999999994"
"4","10","122","612836","90.73294018534119","59.35"
"3","0","125","481802","93.73905429071804","57.099999999999994"
"1","0","122","154471","92.0103092783505","58.199999999999996"
"2","0","127","144971","96.3611859838275","55.65"
"3","0","126","481802","93.96741523557904","56.775"
"1","0","123","154471","92.58777633289988","57.675"
"4","10","123","612836","91.24149659863946","58.8"
"2","0","128","144971","96.61246612466124","55.35"
"3","0","127","481802","94.2350332594235","56.375"
"4","10","124","612836","91.9209282337774","58.175"
"1","0","124","154471","92.9632867132867","57.199999999999996"
"2","0","129","144971","96.50476622787109","55.074999999999996"
"3","0","128","481802","94.67799642218246","55.900000000000006"
"1","0","125","154471","93.08978873239437","56.8"
"4","10","125","612836","91.99480744266552","57.775"
"2","0","130","144971","96.53284671532847","54.800000000000004"
"3","0","129","481802","94.95268138801262","55.474999999999994"
"1","0","126","154471","93.29187027987561","56.275"
"4","10","126","612836","92.44871235268441","57.275"
"2","0","131","144971","96.2929061784897","54.625"
"3","0","130","481802","95.10426110607433","55.15"
"1","0","127","154471","93.68562472010747","55.825"
"4","10","127","612836","92.61213720316623","56.85"
"2","0","132","144971","96.40883977900553","54.300000000000004"
"3","0","131","481802","95.07748404740201","54.85"
"1","0","128","154471","93.7725631768953","55.400000000000006"
"4","10","128","612836","93.02841918294848","56.3"
"2","0","133","144971","96.39556377079482","54.1"
"3","0","132","481802","94.91990846681922","54.625"
"1","0","129","154471","94.3507972665148","54.87499999999999"
"4","10","129","612836","93.11885612153709","55.95"
"2","0","134","144971","96.37714816535068","53.825"
"3","0","133","481802","95.07139567019807","54.275"
"4","10","130","612836","93.07865168539325","55.625"
"1","0","130","154471","94.84820607175713","54.35"
"2","0","135","144971","96.63079082826393","53.425"
"3","0","134","481802","95.53903345724906","53.800000000000004"
"4","10","131","612836","93.46642468239564","55.1"
"1","0","131","154471","95.26462395543176","53.849999999999994"
"3","0","135","481802","95.92696629213484","53.400000000000006"
"2","0","136","144971","96.61654135338345","53.2"
"4","10","132","612836","93.60146252285192","54.7"
"1","0","132","154471","95.46940681924335","53.525"
"2","0","137","144971","96.41340254837188","52.97500000000001"
"3","0","136","481802","96.13389910419613","53.025"
"4","10","133","612836","94.28044280442805","54.2"
"1","0","133","154471","95.76470588235294","53.125"
"2","0","138","144971","96.343779677113","52.65"
"3","0","137","481802","96.1611374407583","52.75"
"4","10","134","612836","94.61216906641894","53.825"
"1","0","134","154471","95.92610137375651","52.775000000000006"
"2","0","139","144971","96.46946564885496","52.400000000000006"
"3","0","138","481802","95.75988565983802","52.47500000000001"
