apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1279.018675107919,617.315,84.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1279.018675107919,614.0899999999999,78.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1279.018675107919,617.315,86.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1284.8748760205467,616.8199999999998,79.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1284.8748760205467,616.8199999999998,75.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1284.8748760205467,611.3599999999999,77.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1284.8748760205467,616.8199999999998,83.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1284.8748760205467,611.3599999999999,73.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1292.2348148218716,617.315,82.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1292.2348148218716,614.0899999999999,76.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1292.2348148218716,614.0899999999999,80.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1292.2348148218716,614.0899999999999,74.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1299.5947536231963,616.8199999999998,81.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1300.085366843956,610.685,72.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1300.085366843956,614.0899999999999,68.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1300.085366843956,610.685,70.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1300.085366843956,617.3899999999999,66.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1301.8208263754368,614.0899999999999,50.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1301.8208263754368,621.5899999999998,52.0
